Date,Open,High,Low,Close,Volume,ticker,change%,avg_20_days_volume,volume%,buyhold_account_value,row_key,account_value,account_cum_max,drawdown,volume_threshold%,pct_threshold%,holding_days,sell_condition,sell_signal,sell_waiting_days,waiting_days_count,actual_sell,holding_days_count,block_identifier,buy_signal,pct_change,max_drawdown,strategy_max_drawdown(%),strategy_cagr%,strategy_calmar
2019-03-26,17.63,18.02,17.63,17.85,110.26,TSLA,2.82,160.47,-31.29,83.54,309,83.25,118.61,-29.82,20,-2,15,False,False,0,0,False,7,12,False,2.82,-37.29,-86.36,-18.75,-0.22
2019-03-27,17.92,18.36,17.88,18.32,131.69,TSLA,2.64,158.66,-17.0,85.74,310,81.05,118.61,-31.67,20,-2,15,False,False,0,0,False,8,12,False,2.64,-37.29,-86.36,-18.75,-0.22
2019-03-28,18.48,18.69,18.34,18.57,101.61,TSLA,1.38,155.85,-34.8,86.92,311,79.94,118.61,-32.61,20,-2,15,False,False,0,0,False,9,12,False,1.38,-37.29,-86.36,-18.75,-0.22
2019-03-29,18.58,18.68,18.3,18.66,89.87,TSLA,0.45,143.16,-37.23,87.31,312,79.58,118.61,-32.91,20,-2,15,False,False,0,0,False,10,12,False,0.45,-37.29,-86.36,-18.75,-0.22
2019-04-01,18.84,19.28,18.75,19.28,121.66,TSLA,3.33,136.42,-10.82,90.22,313,76.93,118.61,-35.14,20,-2,15,False,False,0,0,False,11,12,False,3.33,-37.29,-86.36,-18.75,-0.22
2019-04-02,19.22,19.3,18.93,19.06,82.18,TSLA,-1.14,126.46,-35.01,89.19,314,77.81,118.61,-34.4,20,-2,15,False,False,0,0,False,12,12,False,-1.14,-37.29,-86.36,-18.75,-0.22
2019-04-03,19.15,19.74,19.14,19.45,118.79,TSLA,2.07,124.65,-4.7,91.04,315,76.19,118.61,-35.76,20,-2,15,False,False,0,0,False,13,12,False,2.07,-37.29,-86.36,-18.75,-0.22
2019-04-04,17.46,18.08,17.37,17.85,355.81,TSLA,-8.23,135.35,162.87,83.54,316,82.47,118.61,-30.47,20,-2,15,True,False,0,0,False,14,12,False,-8.23,-37.29,-86.36,-18.75,-0.22
2019-04-05,17.99,18.41,17.74,18.33,195.57,TSLA,2.68,138.52,41.19,85.78,317,80.26,118.61,-32.34,20,-2,15,False,False,0,0,False,15,12,True,2.68,-37.29,-86.36,-18.75,-0.22
2019-04-08,18.51,18.74,18.03,18.21,156.16,TSLA,-0.64,140.78,10.92,85.23,318,80.26,118.61,-32.34,20,-2,15,False,False,0,0,False,0,,False,0.0,-37.29,-86.36,-18.75,-0.22
2019-04-09,18.11,18.33,17.97,18.15,88.56,TSLA,-0.33,139.58,-36.55,84.96,319,80.26,118.61,-32.34,20,-2,15,False,False,0,0,False,0,,False,0.0,-37.29,-86.36,-18.75,-0.22
2019-04-10,18.45,18.56,18.19,18.4,105.92,TSLA,1.38,139.74,-24.2,86.13,320,80.26,118.61,-32.34,20,-2,15,False,False,0,0,False,0,,False,0.0,-37.29,-86.36,-18.75,-0.22
2019-04-11,17.89,18.03,17.71,17.89,147.54,TSLA,-2.77,141.79,4.05,83.74,321,80.26,118.61,-32.34,20,-2,15,False,False,0,0,False,0,,False,0.0,-37.29,-86.36,-18.75,-0.22
2019-04-12,18.01,18.13,17.79,17.85,101.19,TSLA,-0.27,135.76,-25.47,83.52,322,80.26,118.61,-32.34,20,-2,15,False,False,0,0,False,0,,False,0.0,-37.29,-86.36,-18.75,-0.22
2019-04-15,17.91,17.93,17.24,17.76,150.58,TSLA,-0.49,135.58,11.06,83.11,323,80.26,118.61,-32.34,20,-2,15,False,False,0,0,False,0,,False,0.0,-37.29,-86.36,-18.75,-0.22
2019-04-16,17.72,18.33,17.65,18.22,109.09,TSLA,2.62,132.19,-17.47,85.28,324,80.26,118.61,-32.34,20,-2,15,False,False,0,0,False,0,,False,0.0,-37.29,-86.36,-18.75,-0.22
2019-04-17,18.32,18.32,17.9,18.08,76.9,TSLA,-0.78,130.85,-41.23,84.62,325,80.26,118.61,-32.34,20,-2,15,False,False,0,0,False,0,,False,0.0,-37.29,-86.36,-18.75,-0.22
2019-04-18,18.08,18.32,17.98,18.22,88.14,TSLA,0.75,130.8,-32.61,85.25,326,80.26,118.61,-32.34,20,-2,15,False,False,0,0,False,0,,False,0.0,-37.29,-86.36,-18.75,-0.22
